strategy,baseline_tag,ticker,side,entry_date,exit_date,horizon,entry_price,exit_price,raw_return_pct,adjusted_return_pct,stop_hit,target_hit,sector,source_backtest,friction_model,notes
SNIPER,v6_full,NVDA,LONG,2020-02-10,,5,6.5450,7.3025,11.573720,11.273720,0,1,,research/backtests/sniper_backtest.py,commission_5bps_each_side+slippage_10bps_each_side (RT 30bps),label=v6 — large-cap + SPY 200d MA gate; stop=1.5xATR; target=R:R 2.5; score=85; vol_ratio=1.79; stop_price=6.2420; target_price=7.3025
SNIPER,v6_full,NVDA,LONG,2020-02-10,,10,6.5450,7.3025,11.573720,11.273720,0,1,,research/backtests/sniper_backtest.py,commission_5bps_each_side+slippage_10bps_each_side (RT 30bps),label=v6 — large-cap + SPY 200d MA gate; stop=1.5xATR; target=R:R 2.5; score=85; vol_ratio=1.79; stop_price=6.2420; target_price=7.3025
SNIPER,v6_full,NVDA,LONG,2020-02-10,,20,6.5450,7.3025,11.573720,11.273720,0,1,,research/backtests/sniper_backtest.py,commission_5bps_each_side+slippage_10bps_each_side (RT 30bps),label=v6 — large-cap + SPY 200d MA gate; stop=1.5xATR; target=R:R 2.5; score=85; vol_ratio=1.79; stop_price=6.2420; target_price=7.3025
SNIPER,v6_full,NVDA,LONG,2021-02-08,,5,14.4000,15.2900,6.180556,5.880556,0,0,,research/backtests/sniper_backtest.py,commission_5bps_each_side+slippage_10bps_each_side (RT 30bps),label=v6 — large-cap + SPY 200d MA gate; stop=1.5xATR; target=R:R 2.5; score=86; vol_ratio=1.56; stop_price=13.7285; target_price=16.0788
SNIPER,v6_full,NVDA,LONG,2021-02-08,,10,14.4000,13.7285,-4.663462,-4.963462,1,0,,research/backtests/sniper_backtest.py,commission_5bps_each_side+slippage_10bps_each_side (RT 30bps),label=v6 — large-cap + SPY 200d MA gate; stop=1.5xATR; target=R:R 2.5; score=86; vol_ratio=1.56; stop_price=13.7285; target_price=16.0788
SNIPER,v6_full,NVDA,LONG,2021-02-08,,20,14.4000,13.7285,-4.663462,-4.963462,1,0,,research/backtests/sniper_backtest.py,commission_5bps_each_side+slippage_10bps_each_side (RT 30bps),label=v6 — large-cap + SPY 200d MA gate; stop=1.5xATR; target=R:R 2.5; score=86; vol_ratio=1.56; stop_price=13.7285; target_price=16.0788
SNIPER,v6_full,NVDA,LONG,2021-04-12,,5,15.1700,15.3200,0.988794,0.688794,0,0,,research/backtests/sniper_backtest.py,commission_5bps_each_side+slippage_10bps_each_side (RT 30bps),label=v6 — large-cap + SPY 200d MA gate; stop=1.5xATR; target=R:R 2.5; score=95; vol_ratio=2.77; stop_price=14.4708; target_price=16.9181
SNIPER,v6_full,NVDA,LONG,2021-04-12,,10,15.1700,15.4400,1.779829,1.479829,0,0,,research/backtests/sniper_backtest.py,commission_5bps_each_side+slippage_10bps_each_side (RT 30bps),label=v6 — large-cap + SPY 200d MA gate; stop=1.5xATR; target=R:R 2.5; score=95; vol_ratio=2.77; stop_price=14.4708; target_price=16.9181
SNIPER,v6_full,NVDA,LONG,2021-04-12,,20,15.1700,14.4708,-4.609300,-4.909300,1,0,,research/backtests/sniper_backtest.py,commission_5bps_each_side+slippage_10bps_each_side (RT 30bps),label=v6 — large-cap + SPY 200d MA gate; stop=1.5xATR; target=R:R 2.5; score=95; vol_ratio=2.77; stop_price=14.4708; target_price=16.9181
SNIPER,v6_full,NVDA,LONG,2021-05-28,,5,16.2000,17.5800,8.518519,8.218519,0,0,,research/backtests/sniper_backtest.py,commission_5bps_each_side+slippage_10bps_each_side (RT 30bps),label=v6 — large-cap + SPY 200d MA gate; stop=1.5xATR; target=R:R 2.5; score=95; vol_ratio=1.79; stop_price=15.4165; target_price=18.1587
SNIPER,v6_full,NVDA,LONG,2021-05-28,,10,16.2000,17.9800,10.987654,10.687654,0,0,,research/backtests/sniper_backtest.py,commission_5bps_each_side+slippage_10bps_each_side (RT 30bps),label=v6 — large-cap + SPY 200d MA gate; stop=1.5xATR; target=R:R 2.5; score=95; vol_ratio=1.79; stop_price=15.4165; target_price=18.1587
SNIPER,v6_full,NVDA,LONG,2021-05-28,,20,16.2000,18.1587,12.090456,11.790456,0,1,,research/backtests/sniper_backtest.py,commission_5bps_each_side+slippage_10bps_each_side (RT 30bps),label=v6 — large-cap + SPY 200d MA gate; stop=1.5xATR; target=R:R 2.5; score=95; vol_ratio=1.79; stop_price=15.4165; target_price=18.1587
SNIPER,v6_full,NVDA,LONG,2023-02-23,,5,23.6400,23.2900,-1.480541,-1.780541,0,0,,research/backtests/sniper_backtest.py,commission_5bps_each_side+slippage_10bps_each_side (RT 30bps),label=v6 — large-cap + SPY 200d MA gate; stop=1.5xATR; target=R:R 2.5; score=95; vol_ratio=2.03; stop_price=21.8596; target_price=28.0910
SNIPER,v6_full,NVDA,LONG,2023-02-23,,10,23.6400,23.4200,-0.930626,-1.230626,0,0,,research/backtests/sniper_backtest.py,commission_5bps_each_side+slippage_10bps_each_side (RT 30bps),label=v6 — large-cap + SPY 200d MA gate; stop=1.5xATR; target=R:R 2.5; score=95; vol_ratio=2.03; stop_price=21.8596; target_price=28.0910
SNIPER,v6_full,NVDA,LONG,2023-02-23,,20,23.6400,27.1700,14.932318,14.632318,0,0,,research/backtests/sniper_backtest.py,commission_5bps_each_side+slippage_10bps_each_side (RT 30bps),label=v6 — large-cap + SPY 200d MA gate; stop=1.5xATR; target=R:R 2.5; score=95; vol_ratio=2.03; stop_price=21.8596; target_price=28.0910
SNIPER,v6_full,AMD,LONG,2020-11-30,,5,92.6600,94.0700,1.521692,1.221692,0,0,,research/backtests/sniper_backtest.py,commission_5bps_each_side+slippage_10bps_each_side (RT 30bps),label=v6 — large-cap + SPY 200d MA gate; stop=1.5xATR; target=R:R 2.5; score=88; vol_ratio=1.85; stop_price=88.3434; target_price=103.4514
SNIPER,v6_full,AMD,LONG,2020-11-30,,10,92.6600,94.7800,2.287934,1.987934,0,0,,research/backtests/sniper_backtest.py,commission_5bps_each_side+slippage_10bps_each_side (RT 30bps),label=v6 — large-cap + SPY 200d MA gate; stop=1.5xATR; target=R:R 2.5; score=88; vol_ratio=1.85; stop_price=88.3434; target_price=103.4514
SNIPER,v6_full,AMD,LONG,2020-11-30,,20,92.6600,90.6200,-2.201597,-2.501597,0,0,,research/backtests/sniper_backtest.py,commission_5bps_each_side+slippage_10bps_each_side (RT 30bps),label=v6 — large-cap + SPY 200d MA gate; stop=1.5xATR; target=R:R 2.5; score=88; vol_ratio=1.85; stop_price=88.3434; target_price=103.4514
SNIPER,v6_full,META,LONG,2020-07-31,,5,251.7100,266.3700,5.824163,5.524163,0,0,,research/backtests/sniper_backtest.py,commission_5bps_each_side+slippage_10bps_each_side (RT 30bps),label=v6 — large-cap + SPY 200d MA gate; stop=1.5xATR; target=R:R 2.5; score=100; vol_ratio=2.39; stop_price=240.6054; target_price=279.4715
SNIPER,v6_full,META,LONG,2020-07-31,,10,251.7100,259.2300,2.987565,2.687565,0,0,,research/backtests/sniper_backtest.py,commission_5bps_each_side+slippage_10bps_each_side (RT 30bps),label=v6 — large-cap + SPY 200d MA gate; stop=1.5xATR; target=R:R 2.5; score=100; vol_ratio=2.39; stop_price=240.6054; target_price=279.4715
SNIPER,v6_full,META,LONG,2020-07-31,,20,251.7100,279.4715,11.029176,10.729176,0,1,,research/backtests/sniper_backtest.py,commission_5bps_each_side+slippage_10bps_each_side (RT 30bps),label=v6 — large-cap + SPY 200d MA gate; stop=1.5xATR; target=R:R 2.5; score=100; vol_ratio=2.39; stop_price=240.6054; target_price=279.4715
SNIPER,v6_full,META,LONG,2021-04-29,,5,326.9700,315.6600,-3.459033,-3.759033,1,0,,research/backtests/sniper_backtest.py,commission_5bps_each_side+slippage_10bps_each_side (RT 30bps),label=v6 — large-cap + SPY 200d MA gate; stop=1.5xATR; target=R:R 2.5; score=95; vol_ratio=2.84; stop_price=315.6600; target_price=355.2450
