strategy,baseline_tag,ticker,side,entry_date,exit_date,horizon,entry_price,exit_price,raw_return_pct,adjusted_return_pct,stop_hit,target_hit,sector,source_backtest,friction_model,notes
VOYAGER,voyager_v2_full_modeA,MSFT,LONG,2022-01-03,,30,324.6500,291.4058,-10.240000,-10.540000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=75; size_bucket=large; stop_price=268.4100; target_price=465.2400
VOYAGER,voyager_v2_full_modeA,MSFT,LONG,2022-01-03,,90,324.6500,248.1625,-23.560000,-23.860000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=75; size_bucket=large; stop_price=268.4100; target_price=465.2400
VOYAGER,voyager_v2_full_modeA,MSFT,LONG,2022-01-03,,130,324.6500,247.1236,-23.880000,-24.180000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=75; size_bucket=large; stop_price=268.4100; target_price=465.2400
VOYAGER,voyager_v2_full_modeA,MSFT,LONG,2022-01-03,,252,324.6500,224.3007,-30.910000,-31.210000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=75; size_bucket=large; stop_price=268.4100; target_price=465.2400
VOYAGER,voyager_v2_full_modeA,XOM,LONG,2022-07-01,,30,75.3800,80.2420,6.450000,6.150000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=72; size_bucket=large; stop_price=63.4800; target_price=105.1400
VOYAGER,voyager_v2_full_modeA,XOM,LONG,2022-07-01,,90,75.3800,99.0795,31.440000,31.140000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=72; size_bucket=large; stop_price=63.4800; target_price=105.1400
VOYAGER,voyager_v2_full_modeA,XOM,LONG,2022-07-01,,130,75.3800,96.8331,28.460000,28.160000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=72; size_bucket=large; stop_price=63.4800; target_price=105.1400
VOYAGER,voyager_v2_full_modeA,XOM,LONG,2022-07-01,,252,75.3800,95.2049,26.300000,26.000000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=72; size_bucket=large; stop_price=63.4800; target_price=105.1400
VOYAGER,voyager_v2_full_modeA,LLY,LONG,2022-10-03,,30,314.4000,349.1098,11.040000,10.740000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=81; size_bucket=large; stop_price=272.7400; target_price=418.5500
VOYAGER,voyager_v2_full_modeA,LLY,LONG,2022-10-03,,90,314.4000,338.3887,7.630000,7.330000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=81; size_bucket=large; stop_price=272.7400; target_price=418.5500
VOYAGER,voyager_v2_full_modeA,LLY,LONG,2022-10-03,,130,314.4000,358.1016,13.900000,13.600000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=81; size_bucket=large; stop_price=272.7400; target_price=418.5500
VOYAGER,voyager_v2_full_modeA,LLY,LONG,2022-10-03,,252,314.4000,525.2366,67.060000,66.760000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=81; size_bucket=large; stop_price=272.7400; target_price=418.5500
VOYAGER,voyager_v2_full_modeA,UNH,LONG,2022-10-03,,30,472.8300,471.2224,-0.340000,-0.640000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=75; size_bucket=large; stop_price=454.2700; target_price=519.2400
VOYAGER,voyager_v2_full_modeA,UNH,LONG,2022-10-03,,90,472.8300,454.7206,-3.830000,-4.130000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=75; size_bucket=large; stop_price=454.2700; target_price=519.2400
VOYAGER,voyager_v2_full_modeA,UNH,LONG,2022-10-03,,130,472.8300,481.0100,1.730000,1.430000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=75; size_bucket=large; stop_price=454.2700; target_price=519.2400
VOYAGER,voyager_v2_full_modeA,UNH,LONG,2022-10-03,,252,472.8300,475.2414,0.510000,0.210000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=75; size_bucket=large; stop_price=454.2700; target_price=519.2400
VOYAGER,voyager_v2_full_modeA,XOM,LONG,2022-10-03,,30,77.5700,96.4428,24.330000,24.030000,,,,research/backtests/voyager_v2_backtest.py (mode A),"RT 0.30% applied (commission+slippage estimate, voyager backtest does not natively model friction)",score=72; size_bucket=large; stop_price=72.1800; target_price=91.0500
